Bank_Name,Year,Quarter,Capital_Adequacy_Ratio,Non_Performing_Loans_Ratio,Liquidity_Coverage_Ratio,Return_on_Assets,Loan_to_Deposit_Ratio,Net_Interest_Margin,Operational_Efficiency_Ratio,Went_Defunct
National River Financial,2000,2,12.15,0.71,107.05,1.83,86.69,2.87,34.97,No
Community Valley Bank,2000,2,11.51,1.73,93.03,1.97,67.69,3.35,68.49,No
Regional Mountain Credit,2000,2,14.25,1.73,108.93,3.29,70.59,3.01,49.76,No
First Coast Trust,2000,2,12.4,1.86,114.26,1.73,69.67,2.73,42.87,No
Regional Plains Bank,2000,2,12.21,1.75,135.04,0.67,80.92,3.62,29.27,No
United River Bank,2000,2,11.31,1.63,105.92,1.61,58.89,3.88,59.36,No
Community Plains Bancorp,2000,2,14.54,2.72,108.71,1.74,74.89,2.39,57.13,No
Central Valley Financial,2000,2,11.52,1.63,127.11,2.22,66.39,3.58,39.19,No
First Valley Credit,2000,2,13.23,2.59,116.9,2.16,57.49,3.46,48.15,No
Regional Coast Trust,2000,3,10.95,3.05,112.96,1.3,54.43,3.3,37.2,No
Community State Credit,2000,3,15.51,0.0,136.96,2.11,69.03,2.73,53.99,No
United State Financial,2000,3,11.92,3.1,121.14,2.08,66.36,2.97,53.08,No
Central Valley Financial,2000,3,8.58,0.65,127.43,2.09,68.16,3.01,53.48,No
United State Trust,2000,3,10.92,1.22,121.96,1.51,74.08,2.15,60.29,No
National America Trust,2000,3,12.95,2.26,129.83,2.83,80.14,2.08,37.2,No
First River Credit,2000,3,10.75,2.03,125.18,1.64,71.87,2.62,43.88,No
Metropolitan Plains Trust,2000,3,9.19,1.08,106.48,1.51,80.54,2.53,76.32,No
Central Mountain Bancorp,2000,3,12.99,2.18,111.42,2.35,64.24,3.06,75.6,No
First Mountain Trust,2000,3,11.81,3.15,112.97,1.98,87.71,2.69,68.12,No
Community Valley Trust,2000,3,13.42,1.44,126.32,2.49,76.22,2.21,42.73,No
Regional America Bancorp,2000,3,11.5,1.93,126.21,2.09,56.65,3.19,56.11,No
Metropolitan River Trust,2000,3,13.12,3.08,128.34,2.23,69.3,2.17,54.3,No
Metropolitan Mountain Credit,2000,3,12.42,2.27,107.23,1.46,80.53,2.98,56.82,No
Community Coast Credit,2000,3,12.06,2.03,129.38,1.74,70.96,2.77,45.66,No
Metropolitan Mountain Trust,2000,3,11.38,2.22,115.21,2.63,61.05,2.91,45.6,No
First River Credit,2000,3,14.89,2.2,130.32,1.26,72.67,3.44,50.82,No
United Coast Bancorp,2000,3,14.13,1.48,134.09,3.15,66.37,2.78,64.53,No
Central America Trust,2000,3,15.16,1.48,115.8,1.86,56.56,2.54,39.96,No
United Valley Bancorp,2000,3,10.46,1.97,122.34,2.78,60.02,3.49,47.86,No
National River Bank,2000,3,11.9,2.67,108.77,2.19,71.66,3.25,52.89,No
Metropolitan Valley Financial,2000,3,10.91,5.09,64.69,-1.62,91.67,0.68,91.89,Yes
Community Valley Financial,2000,3,14.84,1.43,111.68,2.24,64.48,3.32,52.03,No
United Coast Credit,2000,3,8.97,3.55,137.96,1.69,66.12,3.14,53.34,No
National Coast Trust,2000,3,13.32,4.01,118.23,1.6,56.21,2.63,49.67,No
Community Coast Bank,2000,3,9.59,5.45,72.24,-1.02,117.83,2.26,74.69,Yes
Regional America Bank,2000,3,11.02,3.04,126.82,2.92,75.84,2.82,55.91,No
Central Valley Bank,2000,3,14.22,2.82,125.07,2.53,81.69,3.69,56.49,No
Central State Financial,2000,3,11.67,2.15,132.07,1.59,73.69,2.8,50.29,No
Community Plains Bancorp,2000,3,14.56,2.19,120.46,1.32,77.46,3.32,71.63,No
Regional River Credit,2000,3,11.38,2.22,122.49,2.79,69.05,3.14,56.08,No
National America Credit,2000,3,12.37,1.55,121.94,2.54,59.73,3.07,43.0,No
Central Mountain Financial,2000,3,14.39,0.48,114.41,2.19,85.66,2.97,44.45,No
Community Coast Bancorp,2000,3,15.76,0.55,98.01,2.22,64.98,2.49,57.08,No
First Coast Credit,2000,3,12.49,1.44,107.2,2.44,76.5,2.95,68.47,No
United State Bancorp,2000,3,9.86,0.47,113.08,1.98,72.43,2.88,53.52,No
First Plains Credit,2000,3,9.5,3.44,119.18,2.56,73.43,3.23,55.7,No
Community Coast Bank,2000,3,12.9,2.64,133.29,2.1,77.09,2.96,64.4,No
Central Plains Bank,2000,3,10.65,3.8,119.6,1.28,71.28,2.66,58.41,No
United Mountain Trust,2000,3,10.69,1.55,101.1,1.77,45.76,2.21,57.6,No
United Valley Credit,2000,3,13.57,2.43,110.33,1.98,69.96,2.42,65.03,No
National River Bancorp,2000,3,13.75,1.78,120.27,2.1,49.58,2.88,43.18,No
Regional Coast Financial,2000,3,4.0,6.16,87.98,-0.36,91.43,1.29,93.99,Yes
Regional River Bancorp,2000,3,13.85,2.06,113.53,2.35,73.93,3.45,56.35,No
Community Mountain Bank,2000,3,14.1,1.46,133.17,2.1,90.75,2.66,67.36,No
National Valley Financial,2000,3,12.4,1.35,115.16,1.84,74.24,3.26,44.26,No
Metropolitan Valley Bank,2000,3,11.95,4.14,137.28,2.22,70.38,3.06,56.14,No
National Valley Financial,2000,3,3.95,6.23,53.31,-0.6,109.71,0.76,95.74,Yes
Regional Mountain Financial,2000,3,9.55,0.54,122.24,2.52,86.84,2.77,60.79,No
United Valley Bank,2000,3,11.92,1.83,128.84,2.33,54.24,3.74,63.8,No
First Coast Financial,2000,4,4.75,8.19,74.94,-0.74,91.75,0.66,79.74,Yes
United State Trust,2000,4,14.35,2.54,116.29,2.39,41.51,3.57,32.6,No
Community State Financial,2000,4,11.28,0.88,107.05,2.58,65.32,3.17,49.53,No
National River Bancorp,2000,4,12.95,2.08,107.17,2.5,65.06,2.22,45.72,No
Community Coast Credit,2000,4,15.0,2.85,116.51,1.83,66.78,4.04,53.82,No
National State Bank,2000,4,12.86,3.03,122.39,1.87,68.04,2.96,49.63,No
United Mountain Bank,2000,4,13.46,2.05,127.33,1.96,70.79,2.0,59.16,No
United Valley Bank,2000,4,12.69,3.0,91.04,3.04,68.6,3.55,39.6,No
Regional America Trust,2000,4,7.23,3.84,63.76,0.91,97.14,1.11,88.7,Yes
Regional State Trust,2000,4,12.99,2.15,123.65,3.2,69.42,3.1,60.51,No
First Mountain Credit,2000,4,14.21,3.19,126.39,1.43,86.33,2.43,53.03,No
Regional Mountain Financial,2000,4,4.49,6.81,73.29,-0.68,106.33,1.81,84.54,Yes
Community Plains Trust,2000,4,11.51,2.96,131.89,1.39,75.97,3.35,47.02,No
Central State Credit,2000,4,14.75,1.85,121.26,1.91,70.16,2.45,35.6,No
First Mountain Bancorp,2000,4,15.19,1.15,110.09,0.92,63.61,2.34,66.42,No
United River Credit,2000,4,14.02,1.31,142.52,2.49,66.75,1.75,72.91,No
Metropolitan State Bank,2000,4,9.22,0.35,130.23,3.22,83.84,3.28,55.95,No
Community Mountain Financial,2000,4,13.71,2.76,122.81,2.05,69.37,2.62,47.19,No
Regional America Financial,2000,4,2.61,6.7,60.11,-2.1,102.7,1.7,89.18,Yes
National Valley Bancorp,2000,4,8.86,1.01,129.41,1.51,67.75,3.28,40.32,No
First America Financial,2000,4,12.21,0.67,113.99,2.16,54.07,3.22,49.8,No
Regional Valley Trust,2000,4,13.1,2.22,133.64,2.06,65.71,3.06,55.43,No
Central River Credit,2000,4,12.1,2.04,112.98,1.67,55.97,3.87,37.56,No
National Coast Bancorp,2000,4,10.61,1.28,128.95,1.85,82.48,2.66,52.79,No
Community State Credit,2000,4,4.33,13.44,58.12,-0.69,109.51,1.21,78.15,Yes
United State Credit,2000,4,11.74,2.04,118.53,2.48,92.11,2.72,36.3,No
United America Trust,2000,4,5.82,14.74,61.96,0.64,125.17,0.72,85.69,Yes
Regional Mountain Credit,2000,4,15.26,1.62,117.96,1.71,59.85,2.68,37.76,No
Central State Trust,2000,4,12.07,1.23,122.34,1.22,73.31,3.42,30.06,No
Community River Credit,2000,4,12.75,3.23,107.9,2.84,74.19,2.65,49.44,No
Community River Bank,2000,4,13.12,2.08,125.39,1.54,71.69,2.29,48.89,No
Metropolitan Plains Trust,2000,4,10.19,1.26,132.36,2.55,76.09,2.45,46.84,No
Central Coast Bancorp,2000,4,14.43,2.14,143.19,2.2,71.92,2.85,51.34,No
United River Bancorp,2000,4,11.7,2.71,129.57,1.61,56.69,2.08,55.08,No
National America Financial,2000,4,3.79,0.54,73.89,1.49,99.91,1.42,80.82,Yes
First Mountain Credit,2000,4,11.8,2.92,117.1,2.13,73.22,2.67,59.92,No
Community Mountain Bancorp,2000,4,11.65,1.24,125.37,1.55,70.28,3.0,60.86,No
National Coast Financial,2000,4,12.95,1.97,128.18,2.7,75.58,3.01,36.88,No
Community America Bank,2000,4,9.87,1.69,113.9,1.91,70.57,3.26,49.3,No
Central Plains Bank,2000,4,12.97,2.06,100.25,1.53,68.56,2.4,56.0,No
Community America Bancorp,2000,4,15.06,3.22,117.87,2.75,71.49,2.83,43.87,No
National America Bank,2000,4,11.4,1.61,121.7,2.08,70.03,3.22,61.91,No
Regional America Trust,2000,4,7.9,2.55,44.46,-0.07,79.5,0.89,68.3,Yes
Regional Mountain Bancorp,2000,4,8.4,2.54,127.59,1.71,44.09,2.73,53.92,No
United Mountain Trust,2000,4,3.04,7.55,69.85,-0.42,101.79,0.51,91.97,Yes
National America Bancorp,2000,4,11.68,1.97,110.67,1.78,61.15,2.91,67.12,No
Metropolitan Plains Bancorp,2000,4,9.26,0.39,134.71,1.9,63.31,3.52,43.94,No
Metropolitan State Credit,2000,4,15.65,2.68,115.12,3.08,63.94,3.37,52.99,No
National Coast Bancorp,2000,4,14.6,3.56,120.32,1.62,74.6,2.66,70.13,No
Metropolitan Valley Trust,2000,4,12.27,1.63,121.85,1.33,60.28,3.6,43.43,No
Community State Bancorp,2001,1,9.91,2.54,131.86,2.36,79.96,2.62,35.78,No
Community River Bank,2001,1,9.0,6.03,67.49,0.33,108.34,1.23,101.65,Yes
Central Coast Financial,2001,1,10.71,2.93,120.57,2.13,85.28,3.25,55.38,No
United River Bancorp,2001,1,14.15,1.64,111.61,1.48,50.34,4.03,38.97,No
National River Bank,2001,1,11.56,1.72,123.07,2.41,78.6,2.71,48.33,No
Community Valley Credit,2001,1,6.57,6.25,86.07,-0.51,111.02,1.33,91.73,Yes
Community State Credit,2001,1,12.36,0.7,124.0,1.67,64.71,3.29,62.38,No
First Coast Bank,2001,1,12.04,2.31,137.02,2.12,96.02,3.28,32.39,No
Metropolitan Valley Bank,2001,1,13.51,2.38,132.9,2.34,68.62,2.39,47.91,No
Community River Credit,2001,1,10.3,1.42,125.89,2.83,73.95,2.4,54.45,No
United State Credit,2001,1,14.39,1.39,118.66,2.01,62.15,3.32,48.79,No
National River Credit,2001,1,12.84,1.11,115.63,2.36,66.27,3.86,46.0,No
National America Bank,2001,1,6.45,9.8,55.82,-2.76,77.12,1.63,74.48,Yes
National America Trust,2001,1,17.12,1.44,121.85,2.77,90.06,4.03,62.08,No
Community America Trust,2001,1,8.05,8.78,77.78,-1.55,87.73,1.0,78.3,Yes
Community Plains Financial,2001,1,5.09,9.09,79.55,-0.91,122.16,0.43,78.06,Yes
Community Valley Financial,2001,1,10.57,0.13,119.17,1.94,85.13,3.32,39.76,No
Central America Financial,2001,1,15.71,3.22,125.82,1.89,60.41,2.81,60.89,No
Regional Plains Credit,2001,1,15.77,3.54,115.11,1.44,71.41,2.12,53.23,No
United State Bancorp,2001,1,11.7,1.53,104.05,2.26,64.67,2.42,21.28,No
Community River Credit,2001,1,5.94,12.32,86.61,-1.46,90.97,1.23,70.02,Yes
National River Bancorp,2001,1,12.6,2.77,132.27,1.95,67.96,2.56,41.73,No
Metropolitan Coast Credit,2001,1,11.55,2.37,129.14,1.6,84.93,2.86,49.79,No
Regional River Bancorp,2001,1,10.51,0.0,128.84,2.37,67.19,3.03,55.16,No
Community Valley Bank,2001,1,2.87,5.41,77.94,-2.25,104.4,0.32,84.66,Yes
Metropolitan Plains Bancorp,2001,1,11.93,0.38,131.65,1.63,61.9,3.1,61.49,No
National River Bancorp,2001,1,3.97,7.19,74.29,-0.31,102.65,0.82,71.72,Yes
Metropolitan Mountain Trust,2001,1,12.17,0.93,90.79,2.22,79.04,1.82,39.9,No
Central River Financial,2001,1,13.24,4.06,120.21,1.64,68.17,3.69,43.54,No
National Plains Financial,2001,1,10.4,1.52,110.47,2.06,86.25,3.16,47.48,No
Central Coast Trust,2001,1,11.42,0.44,128.83,1.96,68.2,4.6,52.99,No
Central Coast Trust,2001,1,10.5,1.57,131.48,2.06,55.62,3.46,43.32,No
United River Financial,2001,1,15.75,3.08,115.53,2.64,70.68,3.43,54.85,No
First Valley Credit,2001,1,10.31,1.36,130.3,1.83,65.96,2.52,54.24,No
Central Mountain Bank,2001,1,16.13,0.93,120.24,2.71,69.2,3.23,39.38,No
Regional State Financial,2001,1,12.86,1.81,129.86,2.59,95.9,3.29,53.26,No
Community Mountain Credit,2001,1,12.39,1.65,123.38,1.85,71.68,3.66,39.93,No
United State Trust,2001,1,14.28,3.32,118.82,0.94,63.92,3.65,49.77,No
United River Bancorp,2001,1,10.0,1.5,128.41,2.27,67.61,2.82,46.08,No
First River Credit,2001,1,10.16,3.62,116.78,2.61,85.21,3.5,45.68,No
Community America Bank,2001,1,12.81,1.98,110.96,2.16,58.21,3.59,45.35,No
United State Financial,2001,1,12.4,2.28,117.41,2.29,65.25,3.44,36.54,No
First America Financial,2001,1,6.25,12.82,60.0,-1.68,107.71,1.09,83.51,Yes
Metropolitan River Bank,2001,1,6.98,8.9,81.1,-0.59,96.38,1.34,99.0,Yes
Regional State Financial,2001,1,11.73,1.03,131.07,1.94,48.27,3.42,44.65,No
Community River Credit,2001,1,11.82,2.33,121.9,2.35,65.65,3.26,47.4,No
Metropolitan Valley Bank,2001,1,13.48,2.62,110.65,2.54,64.64,3.4,53.67,No
First America Credit,2001,1,15.68,1.78,116.51,1.99,66.97,3.4,33.84,No
Metropolitan America Bank,2001,1,9.89,0.93,129.5,2.86,68.96,2.92,50.7,No
Community River Bancorp,2001,1,14.32,1.07,122.38,2.49,75.01,3.09,60.01,No
Regional State Credit,2001,2,0.59,9.03,63.46,-2.83,107.67,1.69,78.63,Yes
Metropolitan State Trust,2001,2,13.91,3.61,133.15,2.82,77.42,3.04,33.98,No
Community State Trust,2001,2,11.51,1.16,141.71,1.91,71.23,3.28,50.44,No
Community River Bancorp,2001,2,15.39,1.38,121.95,1.63,56.8,2.69,49.63,No
United Valley Trust,2001,2,11.14,1.31,105.94,1.96,54.95,3.38,50.82,No
First Mountain Bank,2001,2,9.08,1.69,112.48,2.16,83.4,2.06,51.15,No
Metropolitan State Credit,2001,2,11.68,2.67,122.13,1.62,66.81,2.6,60.76,No
Metropolitan Plains Trust,2001,2,12.04,3.9,119.39,1.65,54.86,2.1,34.16,No
Metropolitan Plains Credit,2001,2,12.53,2.51,104.19,2.45,65.17,3.07,66.12,No
Regional State Bancorp,2001,2,13.79,1.73,111.09,0.92,62.81,2.89,40.13,No
Central River Bancorp,2001,2,11.74,2.08,117.75,1.67,71.69,3.22,39.1,No
First Plains Bank,2001,2,14.82,1.9,120.19,2.35,72.33,3.48,52.87,No
National State Bank,2001,2,10.78,2.36,108.56,2.05,69.67,2.9,48.71,No
Central America Trust,2001,2,2.24,5.35,70.93,-0.84,84.58,1.63,71.34,Yes
National State Financial,2001,2,13.94,2.43,113.54,2.89,58.06,3.46,60.01,No
Regional Coast Trust,2001,2,10.66,3.39,117.5,2.14,72.6,2.93,58.11,No
National America Credit,2001,2,13.59,0.25,133.04,1.17,80.33,3.56,39.09,No
Regional River Financial,2001,2,11.18,0.89,117.85,1.85,77.8,3.66,63.96,No
Regional America Bank,2001,2,4.88,6.37,53.17,-1.81,114.47,1.81,67.66,Yes
Regional Mountain Bank,2001,2,10.82,1.97,122.8,1.6,74.24,2.76,49.86,No
National Valley Credit,2001,2,13.09,2.01,115.64,1.95,69.12,2.81,47.41,No
Metropolitan Plains Credit,2001,2,15.2,2.56,117.05,2.35,66.66,3.59,53.7,No
Regional River Bancorp,2001,2,11.79,2.45,104.29,1.44,58.06,3.07,67.33,No
Regional America Bancorp,2001,2,16.46,2.64,125.01,1.1,64.57,2.61,43.79,No
Community State Financial,2001,2,11.66,1.53,100.21,2.37,59.27,3.12,70.74,No
Community State Trust,2001,2,10.16,0.0,117.14,2.55,89.58,2.39,54.97,No
First State Trust,2001,2,5.07,6.68,96.44,-2.5,103.81,1.23,90.86,Yes
National Plains Financial,2001,2,6.2,7.92,66.08,-0.73,94.85,1.31,76.3,Yes
Metropolitan Mountain Financial,2001,2,12.75,1.97,131.26,1.97,52.27,3.63,40.94,No
First Mountain Trust,2001,2,10.69,1.4,133.74,0.93,101.38,3.53,52.23,No
National Mountain Bank,2001,2,11.89,2.29,125.21,2.32,75.56,3.04,48.03,No
Metropolitan Valley Bank,2001,2,11.7,1.81,131.34,2.3,40.6,3.33,51.95,No
Regional State Bancorp,2001,2,11.96,1.61,131.24,2.47,62.27,3.2,40.28,No
National America Trust,2001,2,9.24,1.37,128.62,2.48,75.13,3.36,55.16,No
United Coast Credit,2001,2,10.72,2.43,128.0,2.38,81.89,3.35,53.51,No
Metropolitan Valley Bancorp,2001,2,14.14,1.97,111.18,1.92,62.55,2.66,48.55,No
Regional Valley Financial,2001,2,10.42,1.69,101.06,2.11,70.01,2.59,56.59,No
Metropolitan Valley Trust,2001,2,7.88,2.18,62.37,-1.77,85.9,1.41,78.06,Yes
Metropolitan Plains Trust,2001,2,11.47,0.0,126.35,1.38,70.6,3.14,63.61,No
Central Valley Financial,2001,2,9.38,0.0,121.84,2.9,82.39,3.1,45.08,No
Community America Financial,2001,2,13.61,1.03,124.76,2.25,80.6,4.38,53.92,No
National Valley Financial,2001,2,10.98,1.97,102.31,1.65,65.91,2.74,51.52,No
Metropolitan Valley Bank,2001,2,10.36,3.12,120.0,2.0,66.72,3.08,58.25,No
Community State Financial,2001,2,10.27,1.34,116.96,1.33,61.81,2.76,58.74,No
Central State Financial,2001,2,12.53,2.19,128.51,1.93,73.9,2.95,52.65,No
National Coast Trust,2001,2,4.83,0.0,68.66,0.42,113.89,1.48,92.36,Yes
Community River Bancorp,2001,2,6.18,7.59,63.82,-1.32,109.24,1.6,78.61,Yes
First Plains Financial,2001,2,11.1,2.0,126.01,1.28,47.04,2.72,37.79,No
Regional Plains Bancorp,2001,2,10.98,1.85,115.47,2.73,73.27,3.15,56.22,No
United Mountain Trust,2001,2,3.72,10.12,69.24,-0.33,83.92,0.22,88.18,Yes
National Mountain Credit,2001,3,12.75,1.1,111.3,2.56,58.11,3.82,40.99,No
National America Credit,2001,3,13.28,1.67,126.03,1.73,68.37,3.02,39.98,No
Regional State Bank,2001,3,13.48,1.49,117.71,1.5,44.38,2.9,74.13,No
First America Credit,2001,3,13.57,1.98,117.37,2.01,75.47,2.41,61.14,No
Central Valley Credit,2001,3,13.43,2.72,124.38,2.01,76.73,3.3,46.46,No
National Mountain Bancorp,2001,3,10.85,2.1,135.49,1.38,55.32,3.08,50.51,No
Community America Credit,2001,3,12.35,2.24,117.77,2.74,53.99,2.59,48.97,No
First River Credit,2001,3,8.71,1.82,136.61,2.01,72.31,2.37,43.84,No
First Mountain Credit,2001,3,11.25,1.68,132.82,2.28,58.89,3.12,54.98,No
Regional River Financial,2001,3,14.28,3.58,109.85,1.59,57.42,2.88,54.66,No
